,awardYear,Persistence,awardLabel,PairID,class,lastPubYear,event,time,area,group
2942,2015,4,Wolf Prize in Medicine,463,Contenders,2019,0,4,biology,Senior
2943,2004,16,MacArthur Fellowship,564,Contenders,2020,0,16,general,Young
2944,2006,13,Fellow of the Royal Society,1358,Contenders,2019,0,13,general,Senior
2945,2017,2,Max Planck Medal,1052,Contenders,2019,0,2,physics,Senior
2946,2006,14,Fellow of the Royal Society,1167,Contenders,2020,0,14,general,Middle
2947,2012,8,National Medal of Science,97,Contenders,2020,0,8,general,Senior
2948,2003,16,Lasker-DeBakey Clinical Medical Research Award,587,Contenders,2019,0,16,biology,Middle
2949,1984,19,Fellow of the Royal Society,1122,Contenders,2003,1,19,general,Middle
2950,1989,29,Fellow of the Royal Society,348,Contenders,2018,0,29,general,Young
2951,2002,15,Fellow of the Royal Society,141,Contenders,2017,1,15,general,Senior
2952,2000,15,MacArthur Fellowship,153,Contenders,2015,1,15,general,Middle
2953,2007,13,Fellow of the Royal Society,206,Contenders,2020,0,13,general,Young
2954,1985,20,Fellow of the Royal Society,1145,Contenders,2005,1,20,general,Middle
2955,1981,15,Shanti Swarup Bhatnagar Prize for Science and Technology,708,Contenders,1996,1,15,general,Young
2956,1963,5,Nobel Prize in Chemistry,1026,Contenders,1968,1,5,chemistry,Senior
2957,2013,5,Fellow of the Royal Society,1326,Contenders,2018,0,5,general,Middle
2958,1996,14,Shanti Swarup Bhatnagar Prize for Science and Technology,239,Contenders,2010,1,14,general,Young
2959,1975,6,Nobel Prize in Physics,1235,Contenders,1981,1,6,physics,Middle
2960,2008,12,Hughes Medal,1415,Contenders,2020,0,12,physics,Middle
2961,1975,35,Fellow of the Royal Society,226,Contenders,2010,1,35,general,Middle
2962,1983,37,MacArthur Fellowship,299,Contenders,2020,0,37,general,Young
2963,2013,7,Nobel Prize in Physiology or Medicine,284,Contenders,2020,0,7,biology,Senior
2964,2018,2,Breakthrough Prize in Life Sciences,624,Contenders,2020,0,2,biology,Middle
2965,2002,4,Shanti Swarup Bhatnagar Prize for Science and Technology,843,Contenders,2006,1,4,general,Young
2966,1963,56,Fellow of the Royal Society,1159,Contenders,2019,0,56,general,Young
2967,1985,34,Claude E. Shannon Award,1093,Contenders,2019,0,34,cs,Middle
2968,1987,33,MacArthur Fellowship,1367,Contenders,2020,0,33,general,Young
2969,2005,11,Wolf Prize in Medicine,126,Contenders,2016,1,11,biology,Senior
2970,2014,6,Breakthrough Prize in Life Sciences,1004,Contenders,2020,0,6,biology,Senior
2971,2000,1,MacArthur Fellowship,381,Contenders,2001,1,1,general,Young
2972,2007,13,Shanti Swarup Bhatnagar Prize for Science and Technology,276,Contenders,2020,0,13,general,Young
2973,2007,11,Fellow of the Royal Society,953,Contenders,2018,0,11,general,Senior
2974,2007,12,Lasker-DeBakey Clinical Medical Research Award,800,Contenders,2019,0,12,biology,Senior
2975,1987,27,Fellow of the Royal Society,1185,Contenders,2014,1,27,general,Young
2976,2013,7,Fellow of the Royal Society,1410,Contenders,2020,0,7,general,Middle
2977,2015,5,Breakthrough Prize in Life Sciences,422,Contenders,2020,0,5,biology,Senior
2978,2017,3,Breakthrough Prize in Life Sciences,63,Contenders,2020,0,3,biology,Senior
2979,2002,5,Nobel Prize in Physiology or Medicine,119,Contenders,2007,1,5,biology,Middle
2980,2011,9,Fellow of the Royal Society,1022,Contenders,2020,0,9,general,NA
2981,1991,11,Fellow of the Royal Society,1307,Contenders,2002,1,11,general,Middle
2982,1998,17,Shanti Swarup Bhatnagar Prize for Science and Technology,812,Contenders,2015,1,17,general,Young
2983,1993,27,Wolf Prize in Chemistry,90,Contenders,2020,0,27,chemistry,Middle
2984,2016,4,Fellow of the Royal Society,319,Contenders,2020,0,4,general,Senior
2985,2015,5,Fellow of the Royal Society,264,Contenders,2020,0,5,general,Senior
2986,2005,13,Fellow of the Royal Society,334,Contenders,2018,0,13,general,Middle
2987,1914,19,Nobel Prize in Physics,1353,Contenders,1933,1,19,physics,Young
2988,1995,24,Wolf Prize in Chemistry,1365,Contenders,2019,0,24,chemistry,Middle
2989,1936,36,Fields Medal,479,Contenders,1972,1,36,mathematics,Young
2990,1994,17,Shanti Swarup Bhatnagar Prize for Science and Technology,687,Contenders,2011,1,17,general,Young
2991,1997,21,Shanti Swarup Bhatnagar Prize for Science and Technology,241,Contenders,2018,0,21,general,Young
2992,1979,6,Wolf Prize in Medicine,1340,Contenders,1985,1,6,biology,Middle
2993,1997,23,Fellow of the Royal Society,611,Contenders,2020,0,23,general,Middle
2994,2002,12,MacArthur Fellowship,574,Contenders,2014,1,12,general,Young
2995,2017,3,Fellow of the Royal Society,1194,Contenders,2020,0,3,general,NA
2996,1993,26,Shanti Swarup Bhatnagar Prize for Science and Technology,586,Contenders,2019,0,26,general,Young
2997,2009,11,Cullum Geographical Medal,846,Contenders,2020,0,11,geography,Senior
2998,1984,23,MacArthur Fellowship,1080,Contenders,2007,1,23,general,Young
3000,1974,34,National Medal of Science,162,Contenders,2008,1,34,general,Senior
3001,2016,4,Wolf Prize in Chemistry,1426,Contenders,2020,0,4,chemistry,Middle
3002,1945,50,Fellow of the Royal Society,1282,Contenders,1995,1,50,general,Young
3003,1989,24,Shanti Swarup Bhatnagar Prize for Science and Technology,596,Contenders,2013,1,24,general,Young
3004,2009,10,Fellow of the Royal Society,1247,Contenders,2019,0,10,general,Young
3005,1994,24,MacArthur Fellowship,321,Contenders,2018,0,24,general,Senior
3006,1976,24,Turing Award,1409,Contenders,2000,1,24,cs,Young
3007,2002,18,Fellow of the Royal Society,216,Contenders,2020,0,18,general,Middle
3008,2006,14,Wolf Prize in Chemistry,79,Contenders,2020,0,14,chemistry,Senior
3009,1972,20,Fellow of the Royal Society,1186,Contenders,1992,1,20,general,Young
3010,2017,2,Fellow of the Royal Society,890,Contenders,2019,0,2,general,NA
3011,1968,45,Fellow of the Royal Society,1245,Contenders,2013,1,45,general,Middle
3012,2010,9,Shanti Swarup Bhatnagar Prize for Science and Technology,265,Contenders,2019,0,9,general,Young
3013,1983,27,Fellow of the Royal Society,588,Contenders,2010,1,27,general,Senior
3014,1991,29,Fellow of the Royal Society,488,Contenders,2020,0,29,general,Young
3015,1988,14,Fellow of the Royal Society,190,Contenders,2002,1,14,general,Senior
3016,1986,23,Nobel Prize in Physiology or Medicine,160,Contenders,2009,1,23,biology,Senior
3017,2004,16,Fellow of the Royal Society,477,Contenders,2020,0,16,general,Middle
3018,2012,8,Shanti Swarup Bhatnagar Prize for Science and Technology,1215,Contenders,2020,0,8,general,Young
3019,2013,7,Fellow of the Royal Society,1055,Contenders,2020,0,7,general,Middle
3021,2018,0,Fellow of the Royal Society,1095,Contenders,2018,0,0,general,NA
3022,1982,28,Lasker-DeBakey Clinical Medical Research Award,592,Contenders,2010,1,28,biology,Middle
3023,1992,18,Fellow of the Royal Society,710,Contenders,2010,1,18,general,Middle
3024,1977,32,Max Planck Medal,480,Contenders,2009,1,32,physics,Middle
3025,2002,8,National Medal of Science,426,Contenders,2010,1,8,general,Senior
3026,2003,17,Lasker-DeBakey Clinical Medical Research Award,604,Contenders,2020,0,17,biology,Senior
3027,2000,2,Fellow of the Royal Society,1281,Contenders,2002,1,2,general,Senior
3028,1982,26,Fellow of the Royal Society,1149,Contenders,2008,1,26,general,Young
3029,2002,17,MacArthur Fellowship,315,Contenders,2019,0,17,general,Young
3030,2003,16,Nobel Prize in Chemistry,1283,Contenders,2019,0,16,chemistry,Middle
3031,1985,33,Claude E. Shannon Award,1093,Contenders,2018,0,33,cs,Middle
3032,2002,17,Fellow of the Royal Society,440,Contenders,2019,0,17,general,Middle
3033,2012,7,National Medal of Science,97,Contenders,2019,0,7,general,Senior
3035,2004,16,Fellow of the Royal Society,31,Contenders,2020,0,16,general,Middle
3036,1983,31,MacArthur Fellowship,1325,Contenders,2014,1,31,general,Middle
3037,1993,17,Shanti Swarup Bhatnagar Prize for Science and Technology,1343,Contenders,2010,1,17,general,Young
3038,2015,5,Shanti Swarup Bhatnagar Prize for Science and Technology,1116,Contenders,2020,0,5,general,Young
3039,2016,4,Fellow of the Royal Society,415,Contenders,2020,0,4,general,Senior
3040,1975,33,Fellow of the Royal Society,1249,Contenders,2008,1,33,general,Middle
3041,2016,4,Fellow of the Royal Society,137,Contenders,2020,0,4,general,NA
3042,2001,18,Fellow of the Royal Society,658,Contenders,2019,0,18,general,Middle
3043,1980,7,Fellow of the Royal Society,1266,Contenders,1987,1,7,general,Middle
3044,2017,3,Fellow of the Royal Society,537,Contenders,2020,0,3,general,Senior
3045,1955,54,Lasker-DeBakey Clinical Medical Research Award,103,Contenders,2009,1,54,biology,Young
3046,2001,19,Fellow of the Royal Society,1210,Contenders,2020,0,19,general,Young
3047,1960,1,Nobel Prize in Physics,1419,Contenders,1961,1,1,physics,Young
3048,2010,10,Shanti Swarup Bhatnagar Prize for Science and Technology,923,Contenders,2020,0,10,general,Young
3049,1987,30,Fellow of the Royal Society,816,Contenders,2017,1,30,general,Young
3050,2011,3,Fellow of the Royal Society,55,Contenders,2014,1,3,general,Middle
3051,2011,9,MacArthur Fellowship,651,Contenders,2020,0,9,general,Young
3052,1995,24,Fellow of the Royal Society,1257,Contenders,2019,0,24,general,Young
3053,1944,9,Nobel Prize in Physics,1285,Contenders,1953,1,9,physics,Middle
3054,2001,18,Fellow of the Royal Society,986,Contenders,2019,0,18,general,Middle
3055,2007,13,Fellow of the Royal Society,1263,Contenders,2020,0,13,general,Senior
3056,2003,17,Fellow of the Royal Society,789,Contenders,2020,0,17,general,Middle
3057,1965,25,Fellow of the Royal Society,1202,Contenders,1990,1,25,general,Young
3058,1999,21,Fellow of the Royal Society,1390,Contenders,2020,0,21,general,Young
3059,2008,0,MacArthur Fellowship,233,Contenders,2008,1,0,general,Young
3060,1995,25,Fellow of the Royal Society,1274,Contenders,2020,0,25,general,Middle
3061,2017,3,Fellow of the Royal Society,576,Contenders,2020,0,3,general,NA
3062,2009,11,MacArthur Fellowship,75,Contenders,2020,0,11,general,Middle
3063,2012,5,Wolf Prize in Medicine,970,Contenders,2017,1,5,biology,Senior
3064,2002,17,Shanti Swarup Bhatnagar Prize for Science and Technology,1015,Contenders,2019,0,17,general,Young
3065,1968,41,National Medal of Science,1332,Contenders,2009,1,41,general,Senior
3067,2010,10,Fellow of the Royal Society,493,Contenders,2020,0,10,general,Middle
3068,1996,24,Fellow of the Royal Society,335,Contenders,2020,0,24,general,Middle
3069,1946,30,Fellow of the Royal Society,782,Contenders,1976,1,30,general,Senior
3070,1989,30,Fellow of the Royal Society,524,Contenders,2019,0,30,general,Young
3071,2002,18,Shanti Swarup Bhatnagar Prize for Science and Technology,1015,Contenders,2020,0,18,general,Young
3072,1994,25,Fellow of the Royal Society,548,Contenders,2019,0,25,general,Middle
3073,1952,36,Fellow of the Royal Society,1377,Contenders,1988,1,36,general,Middle
3074,2001,19,National Medal of Science,951,Contenders,2020,0,19,general,Senior
3075,1990,30,Fellow of the Royal Society,519,Contenders,2020,0,30,general,NA
3076,1955,19,Lasker-DeBakey Clinical Medical Research Award,103,Contenders,1974,1,19,biology,Young
3077,1986,22,Fellow of the Royal Society,99,Contenders,2008,1,22,general,Young
3078,2005,15,Fellow of the Royal Society,29,Contenders,2020,0,15,general,Middle
3079,1971,1,Fellow of the Royal Society,667,Contenders,1972,1,1,general,Young
3080,2004,16,Wolf Prize in Medicine,288,Contenders,2020,0,16,biology,Middle
3081,2009,10,Shanti Swarup Bhatnagar Prize for Science and Technology,431,Contenders,2019,0,10,general,Young
3082,1992,6,MacArthur Fellowship,1092,Contenders,1998,1,6,general,Middle
3083,2001,18,MacArthur Fellowship,78,Contenders,2019,0,18,general,NA
3084,1972,35,Fellow of the Royal Society,1186,Contenders,2007,1,35,general,Young
3085,2012,8,Fellow of the Royal Society,184,Contenders,2020,0,8,general,Middle
3086,1990,29,Shanti Swarup Bhatnagar Prize for Science and Technology,67,Contenders,2019,0,29,general,Young
3087,1999,15,MacArthur Fellowship,104,Contenders,2014,1,15,general,Young
3088,1964,43,Fellow of the Royal Society,310,Contenders,2007,1,43,general,Middle
3089,2005,15,MacArthur Fellowship,146,Contenders,2020,0,15,general,Young
3090,2009,11,Fellow of the Royal Society,539,Contenders,2020,0,11,general,NA
3091,1999,20,Fellow of the Royal Society,805,Contenders,2019,0,20,general,Middle
3092,2007,12,Hughes Medal,139,Contenders,2019,0,12,physics,Middle
3093,2017,2,Fellow of the Royal Society,711,Contenders,2019,0,2,general,Senior
3094,2010,9,Lyell Medal,881,Contenders,2019,0,9,geography,Senior
3095,1977,2,Fellow of the Royal Society,818,Contenders,1979,1,2,general,Young
3096,1991,20,Wolf Prize in Physics,1452,Contenders,2011,1,20,physics,Senior
3097,2013,7,SASTRA Ramanujan Prize,829,Contenders,2020,0,7,mathematics,Young
3098,1938,2,Fellow of the Royal Society,744,Contenders,1940,1,2,general,Young
3099,1989,23,Fellow of the Royal Society,1414,Contenders,2012,1,23,general,Senior
3100,1992,28,Shanti Swarup Bhatnagar Prize for Science and Technology,974,Contenders,2020,0,28,general,Young
3101,1981,30,Nobel Prize in Chemistry,593,Contenders,2011,1,30,chemistry,Senior
3102,2011,9,MacArthur Fellowship,680,Contenders,2020,0,9,general,Young
3103,1971,43,Fellow of the Royal Society,867,Contenders,2014,1,43,general,Young
3104,1991,15,Nobel Prize in Physiology or Medicine,161,Contenders,2006,1,15,biology,Middle
3105,1997,19,Max Planck Medal,1258,Contenders,2016,1,19,physics,Senior
3106,1992,24,Shanti Swarup Bhatnagar Prize for Science and Technology,974,Contenders,2016,1,24,general,Young
3107,1995,24,Turing Award,1017,Contenders,2019,0,24,cs,Middle
3108,2012,8,Shanti Swarup Bhatnagar Prize for Science and Technology,1215,Contenders,2020,0,8,general,Young
3109,1966,24,Fellow of the Royal Society,731,Contenders,1990,1,24,general,Young
3110,1974,32,Fellow of the Royal Society,316,Contenders,2006,1,32,general,Young
3111,1996,10,Nobel Prize in Physics,1132,Contenders,2006,1,10,physics,Senior
3112,2003,17,MacArthur Fellowship,977,Contenders,2020,0,17,general,Middle
3113,2011,9,Fellow of the Royal Society,509,Contenders,2020,0,9,general,Middle
3114,1994,11,National Medal of Science,1397,Contenders,2005,1,11,general,Senior
3115,1995,10,Wolf Prize in Physics,1113,Contenders,2005,1,10,physics,Senior
3116,2000,20,Fellow of the Royal Society,1281,Contenders,2020,0,20,general,Senior
3117,1982,37,Wollaston Medal,258,Contenders,2019,0,37,geography,Middle
3118,2002,18,Fellow of the Royal Society,1033,Contenders,2020,0,18,general,Middle
3119,2014,6,Fellow of the Royal Society,41,Contenders,2020,0,6,general,Middle
3120,1980,28,Fellow of the Royal Society,1266,Contenders,2008,1,28,general,Middle
3121,1956,32,Lasker-DeBakey Clinical Medical Research Award,390,Contenders,1988,1,32,biology,Young
3122,1990,29,Fellow of the Royal Society,758,Contenders,2019,0,29,general,Young
3123,2007,13,Fellow of the Royal Society,649,Contenders,2020,0,13,general,Senior
3124,1994,18,Shanti Swarup Bhatnagar Prize for Science and Technology,269,Contenders,2012,1,18,general,Young
3125,1990,29,Fellow of the Royal Society,279,Contenders,2019,0,29,general,Middle
3126,1999,20,Fellow of the Royal Society,609,Contenders,2019,0,20,general,Middle
3127,1964,24,Nobel Prize in Physiology or Medicine,1424,Contenders,1988,1,24,biology,Middle
3128,1982,36,Fields Medal,1174,Contenders,2018,0,36,mathematics,Young
3129,1986,6,Wolf Prize in Chemistry,232,Contenders,1992,1,6,chemistry,Senior
3130,2010,10,Fellow of the Royal Society,271,Contenders,2020,0,10,general,Middle
3131,1983,35,Fellow of the Royal Society,1438,Contenders,2018,0,35,general,Middle
3132,2012,5,Abel Prize,877,Contenders,2017,1,5,mathematics,Senior
3133,2006,14,MacArthur Fellowship,385,Contenders,2020,0,14,general,Young
3134,1990,29,MacArthur Fellowship,1199,Contenders,2019,0,29,general,Young
3135,2008,12,Wolf Prize in Chemistry,107,Contenders,2020,0,12,chemistry,Middle
3136,1991,29,Fellow of the Royal Society,394,Contenders,2020,0,29,general,Middle
3137,2005,12,National Medal of Science,130,Contenders,2017,1,12,general,Senior
3139,2016,1,Wolf Prize in Physics,23,Contenders,2017,1,1,physics,Senior
3140,1988,32,MacArthur Fellowship,639,Contenders,2020,0,32,general,Young
3141,2008,12,MacArthur Fellowship,462,Contenders,2020,0,12,general,Young
3142,1967,53,Fellow of the Royal Society,856,Contenders,2020,0,53,general,Young
3143,2013,5,Fellow of the Royal Society,512,Contenders,2018,0,5,general,Senior
3144,2007,13,Shanti Swarup Bhatnagar Prize for Science and Technology,350,Contenders,2020,0,13,general,NA
3145,1978,22,Fields Medal,38,Contenders,2000,1,22,mathematics,Young
3146,2017,3,Fellow of the Royal Society,897,Contenders,2020,0,3,general,Middle
3147,2011,9,Fellow of the Royal Society,1022,Contenders,2020,0,9,general,NA
3148,1985,11,Fellow of the Royal Society,1406,Contenders,1996,1,11,general,Young
3149,1980,28,Nobel Prize in Physics,879,Contenders,2008,1,28,physics,Middle
3150,2017,2,Fellow of the Royal Society,320,Contenders,2019,0,2,general,Middle
3151,2001,16,Nobel Prize in Physics,69,Contenders,2017,1,16,physics,Young
3152,2006,13,MacArthur Fellowship,458,Contenders,2019,0,13,general,Middle
3153,1987,25,MacArthur Fellowship,464,Contenders,2012,1,25,general,Young
3154,2012,4,Wolf Prize in Chemistry,497,Contenders,2016,1,4,chemistry,Middle
3155,2015,5,Nobel Prize in Physiology or Medicine,234,Contenders,2020,0,5,biology,Senior
3156,2014,6,Nobel Prize in Physics,1280,Contenders,2020,0,6,physics,Middle
3157,2017,3,Fellow of the Royal Society,358,Contenders,2020,0,3,general,Senior
3158,2012,7,Shanti Swarup Bhatnagar Prize for Science and Technology,1013,Contenders,2019,0,7,general,Senior
3159,1975,42,Fellow of the Royal Society,169,Contenders,2017,1,42,general,Middle
3160,1930,13,Nobel Prize in Chemistry,774,Contenders,1943,1,13,chemistry,Middle
3161,1975,32,Fellow of the Royal Society,1249,Contenders,2007,1,32,general,Middle
3162,2015,5,Shanti Swarup Bhatnagar Prize for Science and Technology,1116,Contenders,2020,0,5,general,Young
3163,2002,18,Lasker-DeBakey Clinical Medical Research Award,413,Contenders,2020,0,18,biology,Senior
3164,2002,18,Fellow of the Royal Society,1152,Contenders,2020,0,18,general,Middle
3165,2017,3,Breakthrough Prize in Life Sciences,37,Contenders,2020,0,3,biology,Senior
3166,2009,11,National Medal of Science,928,Contenders,2020,0,11,general,Middle
3167,2001,18,Fellow of the Royal Society,643,Contenders,2019,0,18,general,NA
3168,2011,9,National Medal of Science,683,Contenders,2020,0,9,general,Senior
3169,1993,25,Shanti Swarup Bhatnagar Prize for Science and Technology,610,Contenders,2018,0,25,general,Young
3170,2002,17,MacArthur Fellowship,62,Contenders,2019,0,17,general,Young
3171,2017,2,Wolf Prize in Physics,632,Contenders,2019,0,2,physics,Senior
3172,2015,4,Claude E. Shannon Award,1147,Contenders,2019,0,4,cs,Senior
3173,2010,10,Willard Gibbs Award,131,Contenders,2020,0,10,chemistry,Senior
3174,2011,5,MacArthur Fellowship,771,Contenders,2016,1,5,general,Young
3176,2015,5,Fellow of the Royal Society,727,Contenders,2020,0,5,general,Senior
3177,2014,6,National Medal of Science,1256,Contenders,2020,0,6,general,Senior
3178,2003,17,Lasker-DeBakey Clinical Medical Research Award,587,Contenders,2020,0,17,biology,Middle
3179,1989,24,Shanti Swarup Bhatnagar Prize for Science and Technology,502,Contenders,2013,1,24,general,Young
3180,2017,2,Nobel Prize in Physics,188,Contenders,2019,0,2,physics,Senior
3183,1993,27,Wolf Prize in Chemistry,90,Contenders,2020,0,27,chemistry,Middle
3185,2015,5,Fellow of the Royal Society,455,Contenders,2020,0,5,general,NA
3187,1973,38,Fellow of the Royal Society,1109,Contenders,2011,1,38,general,Young
3188,2010,10,National Medal of Science,1284,Contenders,2020,0,10,general,Senior
3189,2010,10,Shanti Swarup Bhatnagar Prize for Science and Technology,791,Contenders,2020,0,10,general,Young
3190,2004,13,National Medal of Science,1111,Contenders,2017,1,13,general,Senior
3191,1989,31,Edison Medal,638,Contenders,2020,0,31,cs,Senior
3192,2008,11,Fellow of the Royal Society,352,Contenders,2019,0,11,general,Young
3193,2010,9,Fields Medal,920,Contenders,2019,0,9,mathematics,Young
3194,2008,12,Fellow of the Royal Society,219,Contenders,2020,0,12,general,Young
3195,2007,0,Willard Gibbs Award,435,Contenders,2007,1,0,chemistry,Middle
3196,2016,4,Fellow of the Royal Society,1012,Contenders,2020,0,4,general,NA
3197,2007,13,Fellow of the Royal Society,1446,Contenders,2020,0,13,general,Middle
3198,2016,4,Lasker-DeBakey Clinical Medical Research Award,193,Contenders,2020,0,4,biology,Middle
3199,1993,27,Willard Gibbs Award,189,Contenders,2020,0,27,chemistry,Middle
3200,1987,27,Shanti Swarup Bhatnagar Prize for Science and Technology,1029,Contenders,2014,1,27,general,Young
3201,2011,4,MacArthur Fellowship,835,Contenders,2015,1,4,general,Young
3202,1982,38,MacArthur Fellowship,857,Contenders,2020,0,38,general,Middle
3203,1994,25,Shanti Swarup Bhatnagar Prize for Science and Technology,269,Contenders,2019,0,25,general,Young
3204,1997,22,Fellow of the Royal Society,729,Contenders,2019,0,22,general,Middle
3205,2014,6,Nobel Prize in Physics,921,Contenders,2020,0,6,physics,Middle
3206,1992,25,Fellow of the Royal Society,557,Contenders,2017,1,25,general,Middle
3207,2007,10,Shanti Swarup Bhatnagar Prize for Science and Technology,1032,Contenders,2017,1,10,general,NA
3208,1939,24,Fellow of the Royal Society,1187,Contenders,1963,1,24,general,Young
3209,1997,22,Fellow of the Royal Society,451,Contenders,2019,0,22,general,Middle
3212,1982,29,MacArthur Fellowship,1384,Contenders,2011,1,29,general,Young
3213,2004,9,Shanti Swarup Bhatnagar Prize for Science and Technology,817,Contenders,2013,1,9,general,Young
3214,2017,3,Fellow of the Royal Society,866,Contenders,2020,0,3,general,Middle
3215,1990,24,National Medal of Science,353,Contenders,2014,1,24,general,Senior
3216,1994,21,Fellow of the Royal Society,408,Contenders,2015,1,21,general,Young
3217,1982,38,MacArthur Fellowship,536,Contenders,2020,0,38,general,Young
3218,2007,13,Fellow of the Royal Society,712,Contenders,2020,0,13,general,Senior
3219,1979,3,Fellow of the Royal Society,393,Contenders,1982,1,3,general,Middle
3220,1968,38,Nobel Prize in Physiology or Medicine,1200,Contenders,2006,1,38,biology,Middle
3221,2014,5,Lasker-DeBakey Clinical Medical Research Award,1260,Contenders,2019,0,5,biology,NA
3222,1999,21,MacArthur Fellowship,104,Contenders,2020,0,21,general,Young
3223,1940,68,Fellow of the Royal Society,364,Contenders,2008,1,68,general,Young
3224,1943,0,Nobel Prize in Physiology or Medicine,946,Contenders,1943,1,0,biology,Middle
3225,1975,40,Shanti Swarup Bhatnagar Prize for Science and Technology,1359,Contenders,2015,1,40,general,Young
3226,1998,20,Shanti Swarup Bhatnagar Prize for Science and Technology,1148,Contenders,2018,0,20,general,Young
3227,1971,26,Fellow of the Royal Society,242,Contenders,1997,1,26,general,Middle
3228,1901,41,Fellow of the Royal Society,706,Contenders,1942,1,41,general,Young
3229,2011,8,Fellow of the Royal Society,65,Contenders,2019,0,8,general,Middle
3230,1973,16,Shanti Swarup Bhatnagar Prize for Science and Technology,1192,Contenders,1989,1,16,general,Young
3231,1995,2,Nobel Prize in Chemistry,625,Contenders,1997,1,2,chemistry,Middle
3232,2002,17,Shanti Swarup Bhatnagar Prize for Science and Technology,527,Contenders,2019,0,17,general,Young
3233,1994,18,Willard Gibbs Award,325,Contenders,2012,1,18,chemistry,Senior
3234,1981,23,MacArthur Fellowship,959,Contenders,2004,1,23,general,Young
3235,2004,15,Fellow of the Royal Society,1110,Contenders,2019,0,15,general,Senior
3236,2015,4,Nobel Prize in Chemistry,1244,Contenders,2019,0,4,chemistry,Senior
3237,1993,2,MacArthur Fellowship,863,Contenders,1995,1,2,general,Young
3238,1978,13,Fellow of the Royal Society,1411,Contenders,1991,1,13,general,Young
3239,2006,13,Shanti Swarup Bhatnagar Prize for Science and Technology,30,Contenders,2019,0,13,general,Young
3240,1978,14,Nobel Prize in Physiology or Medicine,5,Contenders,1992,1,14,biology,Middle
3241,1996,24,Shanti Swarup Bhatnagar Prize for Science and Technology,838,Contenders,2020,0,24,general,Young
3244,2002,8,Fellow of the Royal Society,616,Contenders,2010,1,8,general,Middle
3245,2000,11,Fellow of the Royal Society,787,Contenders,2011,1,11,general,Middle
3246,2004,16,Nobel Prize in Physiology or Medicine,332,Contenders,2020,0,16,biology,Middle
3247,2014,6,Lasker-DeBakey Clinical Medical Research Award,1260,Contenders,2020,0,6,biology,NA
3249,1993,25,Wolf Prize in Chemistry,90,Contenders,2018,0,25,chemistry,Middle
3250,2012,6,Nobel Prize in Physics,1078,Contenders,2018,0,6,physics,Senior
3251,1999,19,Nobel Prize in Physiology or Medicine,277,Contenders,2018,0,19,biology,Senior
3253,1984,30,Nobel Prize in Chemistry,573,Contenders,2014,1,30,chemistry,Senior
3254,2016,3,Fellow of the Royal Society,415,Contenders,2019,0,3,general,Senior
3255,1989,30,Shanti Swarup Bhatnagar Prize for Science and Technology,502,Contenders,2019,0,30,general,Young
3256,1987,33,Fellow of the Royal Society,553,Contenders,2020,0,33,general,Middle
3257,1998,5,Shanti Swarup Bhatnagar Prize for Science and Technology,1148,Contenders,2003,1,5,general,Young
3258,1993,26,MacArthur Fellowship,84,Contenders,2019,0,26,general,Middle
3259,2002,18,Shanti Swarup Bhatnagar Prize for Science and Technology,869,Contenders,2020,0,18,general,Young
3260,2007,13,Fellow of the Royal Society,47,Contenders,2020,0,13,general,Middle
3261,2015,5,Fellow of the Royal Society,529,Contenders,2020,0,5,general,NA
3262,1941,17,Fellow of the Royal Society,1218,Contenders,1958,1,17,general,Young
3263,1947,11,Nobel Prize in Physiology or Medicine,261,Contenders,1958,1,11,biology,Middle
3264,1936,67,Willard Gibbs Award,1226,Contenders,2003,1,67,chemistry,Middle
3265,2002,3,Fellow of the Royal Society,141,Contenders,2005,1,3,general,Senior
3266,2016,4,Lasker-DeBakey Clinical Medical Research Award,1125,Contenders,2020,0,4,biology,Senior
3267,2002,18,Wolf Prize in Physics,809,Contenders,2020,0,18,physics,Senior
3268,1984,32,MacArthur Fellowship,166,Contenders,2016,1,32,general,Middle
3269,2000,16,Marconi Prize,1206,Contenders,2016,1,16,cs,Middle
3270,2002,4,Wollaston Medal,1240,Contenders,2006,1,4,geography,Senior
3271,2011,9,MacArthur Fellowship,786,Contenders,2020,0,9,general,Young
3272,2007,13,Fellow of the Royal Society,147,Contenders,2020,0,13,general,Middle
3273,2017,2,Fellow of the Royal Society,890,Contenders,2019,0,2,general,NA
3274,2009,11,Nobel Prize in Physiology or Medicine,231,Contenders,2020,0,11,biology,Middle
3276,1994,24,Shanti Swarup Bhatnagar Prize for Science and Technology,1071,Contenders,2018,0,24,general,Young
3277,2007,2,Fellow of the Royal Society,1143,Contenders,2009,1,2,general,NA
3278,2007,13,MacArthur Fellowship,841,Contenders,2020,0,13,general,Young
3279,2013,7,Breakthrough Prize in Life Sciences,391,Contenders,2020,0,7,biology,Senior
3280,1971,36,Fellow of the Royal Society,1279,Contenders,2007,1,36,general,Young
3281,1989,18,Nobel Prize in Physics,70,Contenders,2007,1,18,physics,Senior
3282,1990,27,Fellow of the Royal Society,535,Contenders,2017,1,27,general,Middle
3283,2002,16,Fellow of the Royal Society,616,Contenders,2018,0,16,general,Middle
3284,2006,14,Fellow of the Royal Society,1139,Contenders,2020,0,14,general,Middle
3285,1991,22,Fellow of the Royal Society,282,Contenders,2013,1,22,general,Young
3286,2012,1,National Medal of Science,1077,Contenders,2013,1,1,general,Senior
